id,latitude_verbatim,longitude_verbatim,latitude,longitude,user_id,gid_0,country,gid_1,state,gid_2,county,country_cent_dist,country_cent_dist_relative,country_cent_type,country_cent_dist_max,is_country_centroid,state_cent_dist,state_cent_dist_relative,state_cent_type,state_cent_dist_max,is_state_centroid,county_cent_dist,county_cent_dist_relative,county_cent_type,county_cent_dist_max,is_county_centroid,subpoly_cent_dist,subpoly_cent_dist_relative,subpoly_cent_type,subpoly_cent_dist_max,is_subpoly_centroid,centroid_dist_km,centroid_dist_relative,centroid_type,centroid_dist_max_km,centroid_poldiv,max_dist,max_dist_rel,latlong_err,coordinate_decimal_places,coordinate_inherent_uncertainty_m
51,46.0,25.0,46.0,25.0,,ROU,Romania,ROU.8_1,Brașov,ROU.8.23_1,Jibert,6.42734863273,0.0121312609486705,bb_main,529.8170289078145450,1,26.7230542554,0.27096801078123,pos_main,98.6206976179754666,,3.80983367658,0.314121554000044,std_main,12.1285331365050688,,6.42734863273,0.0121312609486705,bb,529.8170289078145450,1,6.42734863273,0.0121312609486705,bb,529.8170289078145450,other,1000,0.1,,1,13544.21595603
50,51.96732,-4.24382,51.96732,-4.24382,,GBR,United Kingdom,GBR.4_1,Wales,GBR.4.6_1,Carmarthenshire,248.50871290507,0.223041777865685,std_main,1114.1801113812906462,,47.93928243938,0.283207989721843,bb,169.2723516962367112,,8.41968454123,0.133063759305515,pos_main,63.2755649259718101,,35.67106092484,67.8129503157952,pos,0.52602136846612596475,,,,,,,1000,0.1,,5,1.30781592
46,-23.62,-65.43,-23.62,-65.43,,ARG,Argentina,ARG.10_1,Jujuy,ARG.10.13_1,Tilcara,1282.72707909248,0.578450972844515,std_main,2217.5208259823797126,,47.69126705946,0.24310907469393,std_main,196.1723029858200759,,11.57614479523,0.308729989449613,pos,37.4960165543597500,,1262.42159506364,931.788002748781,bb,1.3548377864272642,,,,,,,1000,0.1,,2,1505.96346691
45,52.54731,-2.49544,52.54731,-2.49544,,GBR,United Kingdom,GBR.1_1,England,GBR.1.84_1,Shropshire,155.44811609229,0.118883589943371,std_main,1307.5657974858947610,,33.95719079171,0.0659611882995144,bb,514.8056253552968452,1,18.89926115984,0.483058494465635,std,39.1241668998007901,,105.13558248394,295.697838253854,std,0.35555073078918495436,,33.95719079171,0.0659611882995144,bb,514.8056253552968452,state,1000,0.1,,5,1.30325104
52,52.92755,4.7864,52.92755,4.7864,,NLD,Netherlands,NLD.9_1,Noord-Holland,NLD.9.15_1,Den Helder,91.20050914114,0.428869612909145,std,212.6532316488942045,,29.34139835733,0.488503710005715,bb,60.0638188745521201,,1.93326119992,0.438693898088311,bb,4.4068568273790443,,8.69028710937,3.68435064207059,bb,2.3587025105965740,,,,,,,1000,0.1,,4,6.81641044
41,36.580435,-96.53331,36.580435,-96.53331,,USA,United States,USA.37_1,Oklahoma,USA.37.57_1,Osage,96.52746862561,0.00348754299905098,bb_main,27677.78595185113772763,1,141.18631236452,0.24571671353282,std_main,574.5897799730337164,,0.00002299614,0.000000310039751813078,bb,74.171585629007667148906,1,96.52746862561,0.0310905881666073,bb,3104.7167106759618560,1,0.00002299614,0.000000310039751813078,bb,74.171585629007667148906,county,1000,0.1,,5,0.90183686
42,39.8081822436996,-91.6228915663878,39.8081822436996,-91.6228915663878,,USA,United States,USA.26_1,Missouri,USA.26.63_1,Marion,464.63434725706,0.0178756198275162,bb_main,25992.6286047906228563,1,176.21265304397,0.42212960214145,std_main,417.4373276596780578,,0.00364349862,0.000101607400169105,std,35.858595082013045100,1,464.63434725706,0.159356754721412,bb,2915.6865554229896693,,0.00364349862,0.000101607400169105,std,35.858595082013045100,county,1000,0.1,,13,0.00000001
43,46.0,25.0,46.0,25.0,,ROU,Romania,ROU.8_1,Brașov,ROU.8.23_1,Jibert,6.42734863273,0.0121312609486705,bb_main,529.8170289078145450,1,26.7230542554,0.27096801078123,pos_main,98.6206976179754666,,3.80983367658,0.314121554000044,std_main,12.1285331365050688,,6.42734863273,0.0121312609486705,bb,529.8170289078145450,1,6.42734863273,0.0121312609486705,bb,529.8170289078145450,other,1000,0.1,,1,13544.21595603
44,52.92755,4.7864,52.92755,4.7864,,NLD,Netherlands,NLD.9_1,Noord-Holland,NLD.9.15_1,Den Helder,91.20050914114,0.428869612909145,std,212.6532316488942045,,29.34139835733,0.488503710005715,bb,60.0638188745521201,,1.93326119992,0.438693898088311,bb_main,4.4068568273790443,,8.69028710937,3.68435064207059,bb,2.3587025105965740,,,,,,,1000,0.1,,4,6.81641044
47,-29.178651024973867,149.269218,-29.178651024973867,149.269218,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.91_1,Moree Plains,1310.81678066318,0.420530110681791,bb,3117.0580830418964590,,395.69019025254,0.309159412926658,std,1279.8904827342576426,,24.34282939427,0.19513938781117,pos,124.7458530403188485,,393.34497979027,1825.39805809373,pos,0.21548449558505700910,,,,,,,1000,0.1,,6,0.09727089
48,-29.231478025060987,152.13519,-29.231478025060987,152.13519,,AUS,Australia,AUS.5_1,New South Wales,AUS.5.125_1,Tenterfield,1576.06289463306,0.507242910602397,bb,3107.1166529687763395,,445.76587369754,0.422863808452792,bb,1054.1594357023456611,,32.23007906109,0.355507765153628,std_main,90.6592829193539435,,119.87756627926,3332.32426611345,std,0.03597415998745985531,,,,,,,1000,0.1,,5,0.97221024
49,51.81171,-3.8879,51.81171,-3.8879,,GBR,United Kingdom,GBR.4_1,Wales,GBR.4.6_1,Carmarthenshire,254.45141010631,0.215461216487741,std_main,1180.9615403372950302,,55.33813443747,0.278367854273002,std_main,198.7949886742259058,,20.860972449,0.457483939128013,std_main,45.5993547855735539,,40.63792603147,32.9331191224081,pos,1.2339531485136327,,,,,,,1000,0.1,,4,6.98575283
40,latitude,longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.1,Coordinates non-numeric,,
